install_date,daily_date,dau,days_since_install,retention_rate
2024-07-01 00:00:00.000000,2024-07-01 00:00:00.000000,400,0,1.0
2024-07-01 00:00:00.000000,2024-07-02 00:00:00.000000,400,1,1.0
2024-07-01 00:00:00.000000,2024-07-03 00:00:00.000000,400,2,1.0
2024-07-01 00:00:00.000000,2024-07-04 00:00:00.000000,400,3,1.0
2024-07-01 00:00:00.000000,2024-07-05 00:00:00.000000,400,4,1.0
2024-07-01 00:00:00.000000,2024-07-06 00:00:00.000000,400,5,1.0
2024-07-01 00:00:00.000000,2024-07-07 00:00:00.000000,400,6,1.0
2024-07-01 00:00:00.000000,2024-07-08 00:00:00.000000,400,7,1.0
2024-07-01 00:00:00.000000,2024-07-09 00:00:00.000000,400,8,1.0
2024-07-01 00:00:00.000000,2024-07-10 00:00:00.000000,400,9,1.0
2024-07-01 00:00:00.000000,2024-07-11 00:00:00.000000,400,10,1.0
2024-07-01 00:00:00.000000,2024-07-12 00:00:00.000000,400,11,1.0
2024-07-01 00:00:00.000000,2024-07-13 00:00:00.000000,400,12,1.0
2024-07-01 00:00:00.000000,2024-07-14 00:00:00.000000,400,13,1.0
2024-07-01 00:00:00.000000,2024-07-15 00:00:00.000000,400,14,1.0
2024-07-01 00:00:00.000000,2024-07-16 00:00:00.000000,400,15,1.0
2024-07-01 00:00:00.000000,2024-07-17 00:00:00.000000,400,16,1.0
2024-07-01 00:00:00.000000,2024-07-18 00:00:00.000000,400,17,1.0
2024-07-01 00:00:00.000000,2024-07-19 00:00:00.000000,400,18,1.0
2024-07-01 00:00:00.000000,2024-07-20 00:00:00.000000,400,19,1.0
2024-07-01 00:00:00.000000,2024-07-21 00:00:00.000000,400,20,1.0
2024-07-01 00:00:00.000000,2024-07-22 00:00:00.000000,400,21,1.0
2024-07-01 00:00:00.000000,2024-07-23 00:00:00.000000,400,22,1.0
2024-07-01 00:00:00.000000,2024-07-24 00:00:00.000000,400,23,1.0
2024-07-01 00:00:00.000000,2024-07-25 00:00:00.000000,400,24,1.0
2024-07-01 00:00:00.000000,2024-07-26 00:00:00.000000,400,25,1.0
2024-07-01 00:00:00.000000,2024-07-27 00:00:00.000000,400,26,1.0
2024-07-01 00:00:00.000000,2024-07-28 00:00:00.000000,400,27,1.0
2024-07-01 00:00:00.000000,2024-07-29 00:00:00.000000,400,28,1.0
2024-07-01 00:00:00.000000,2024-07-30 00:00:00.000000,400,29,1.0
2024-07-01 00:00:00.000000,2024-07-31 00:00:00.000000,400,30,1.0
2024-07-01 00:00:00.000000,2024-08-01 00:00:00.000000,400,31,1.0
2024-07-01 00:00:00.000000,2024-08-02 00:00:00.000000,400,32,1.0
2024-07-01 00:00:00.000000,2024-08-03 00:00:00.000000,400,33,1.0
2024-07-01 00:00:00.000000,2024-08-04 00:00:00.000000,400,34,1.0
2024-07-01 00:00:00.000000,2024-08-05 00:00:00.000000,400,35,1.0
2024-07-01 00:00:00.000000,2024-08-06 00:00:00.000000,400,36,1.0
2024-07-01 00:00:00.000000,2024-08-07 00:00:00.000000,400,37,1.0
2024-07-01 00:00:00.000000,2024-08-08 00:00:00.000000,400,38,1.0
2024-07-01 00:00:00.000000,2024-08-09 00:00:00.000000,400,39,1.0
2024-07-01 00:00:00.000000,2024-08-10 00:00:00.000000,400,40,1.0
2024-07-01 00:00:00.000000,2024-08-11 00:00:00.000000,400,41,1.0
2024-07-01 00:00:00.000000,2024-08-12 00:00:00.000000,400,42,1.0
2024-07-01 00:00:00.000000,2024-08-13 00:00:00.000000,400,43,1.0
2024-07-01 00:00:00.000000,2024-08-14 00:00:00.000000,400,44,1.0
2024-07-01 00:00:00.000000,2024-08-15 00:00:00.000000,400,45,1.0
2024-07-01 00:00:00.000000,2024-08-16 00:00:00.000000,400,46,1.0
2024-07-01 00:00:00.000000,2024-08-17 00:00:00.000000,400,47,1.0
